# StartTime = 01/19/2024 01:25:31.1282 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (km/h), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Engine RPM (RPM), Mass air flow rate (g/s), Absolute throttle position (%), Fuel level input (%), GPS Speed (km/h), Fuel rate (l/hr), Alcohol fuel percentage (%), Engine fuel rate (l/hr), Vehicle Fuel Rate (g/s), Fuel Remaining (l), Fuel Level Input A (%), Fuel Level Input B (%), Instant fuel economy (l/100 km), Calculated load value (%), Fuel rail pressure (kPa), Fuel rail pressure relative to manifold vacuum (kPa), Accelerator pedal position D (%), Accelerator pedal position E (%)
25.336,-23.03031,-44.54565,5,0.5282904,-0.1593475,0.7161712,1055.25,4.39,21.17647,70.58823,4.643486,1.46096,32.15686,0,0,9.882353,0,0,29.21918,28.62745,0,0,25.4902,13.33333
25.337,-23.03031,-44.54565,5,0.5282904,-0.1593475,0.7161712,1055.25,4.39,21.17647,70.58823,4.643486,1.46096,32.15686,0,0,9.882353,0,0,29.21918,28.62745,0,0,25.4902,13.33333
26.265,-23.03031,-44.54564,7,-0.07522093,0.7948608,0.5786596,1246.75,6.03,25.09804,70.58823,6.930655,2.006741,32.15686,0,0,9.882353,0,0,28.6677,35.29412,0,0,26.27451,13.33333
26.271,-23.03031,-44.54564,7,-0.2807131,0.9598222,0.5565501,1246.75,6.03,25.09804,70.58823,6.930655,2.006741,32.15686,0,0,9.882353,0,0,28.6677,35.29412,0,0,26.27451,13.33333
26.278,-23.03031,-44.54564,7,-0.2807131,0.9598222,0.5565501,1246.75,6.03,25.09804,70.58823,6.930655,2.006741,32.15686,0,0,9.882353,0,0,28.6677,35.29412,0,0,26.27451,13.33333
26.278,-23.03031,-44.54564,7,-0.2807131,0.9598222,0.5565501,1246.75,6.03,25.09804,70.58823,6.930655,2.006741,32.15686,0,0,9.882353,0,0,28.6677,35.29412,0,0,26.27451,13.33333
27.269,-23.0303,-44.54562,9,-0.1809276,-0.199075,-1.102232,1490.75,7.72,30.19608,84.70588,8.27575,2.56916,32.15686,0,0,11.85882,0,0,28.5462,45.88235,0,0,30.98039,15.68627
27.279,-23.0303,-44.54562,9,-0.2014496,-0.04127941,-1.049395,1490.75,7.72,30.19608,84.70588,8.27575,2.56916,32.15686,0,0,11.85882,0,0,28.5462,45.88235,0,0,30.98039,15.68627
27.281,-23.0303,-44.54562,9,-0.2014496,-0.04127941,-1.049395,1490.75,7.72,30.19608,84.70588,8.27575,2.56916,32.15686,0,0,11.85882,0,0,28.5462,45.88235,0,0,30.98039,15.68627
27.287,-23.0303,-44.54562,9,-0.3255721,0.2632921,-0.6921429,1490.75,7.72,30.19608,84.70588,8.27575,2.56916,32.15686,0,0,11.85882,0,0,28.5462,45.88235,0,0,30.98039,15.68627
