VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,9726;3,7352;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7763;-73,9759;40,7699;-73,9747;301,8772;-0,0006;-0,0120;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3613;0,1240;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7718;-73,9656;40,7693;-73,9654;10,0203;-0,0036;-0,0054;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3645;0,1271;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7656;-73,9761;40,7640;-73,9742;10,2752;-0,0091;-0,0145;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,5783;0,3410;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7914;-73,9680;40,7891;-73,9666;27,5573;0,0160;-0,0062;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3004;0,0631;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7783;-73,9608;40,7759;-73,9611;5,0991;0,0027;-0,0008;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0061;-0,2313;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7678;-73,9601;40,7656;-73,9606;-18,6921;-0,0075;0,0004;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2615;0,0242;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7847;-73,9561;40,7822;-73,9560;1,9532;0,0091;0,0040;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,0587;-0,1787;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7588;-73,9541;40,7571;-73,9554;-14,4407;-0,0163;0,0057;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3506;0,1133;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7649;-73,9705;40,7623;-73,9701;9,1540;-0,0106;-0,0096;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3180;0,0807;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7698;-73,9647;40,7673;-73,9645;6,5208;-0,0058;-0,0042;2,0000
