VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,3181;-0,1350;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7639;-73,9542;40,7612;-73,9558;-3,9083;-0,0118;0,0065;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,2734;-0,1797;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7809;-73,9510;40,7779;-73,9519;-5,2043;0,0055;0,0095;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,6595;0,2064;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7865;-73,9503;40,7839;-73,9522;5,9774;0,0109;0,0107;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,9945;1,5414;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7834;-73,9642;40,7828;-73,9636;44,6370;0,0098;-0,0018;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,4504;-1,0027;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7720;-73,9456;40,7698;-73,9480;-29,0387;-0,0041;0,0158;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,9928;-0,4603;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7774;-73,9430;40,7748;-73,9448;-13,3291;0,0017;0,0178;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,0088;-0,4443;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7894;-73,9571;40,7865;-73,9568;-12,8655;0,0142;0,0039;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;5,4886;2,0355;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7840;-73,9662;40,7791;-73,9689;58,9482;0,0068;-0,0060;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,9148;0,4617;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7616;-73,9665;40,7592;-73,9682;13,3696;-0,0140;-0,0058;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,3706;-0,0825;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7827;-73,9513;40,7802;-73,9532;-2,3880;0,0071;0,0089;2,0000
