linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
19,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xf81522d7fff0e6f6d4e96e91cc9171654023937fc9ba9f7b971d2ee7c4b14a79,22806,32097,43079,21539,0.001183,29631.14,29157.72,
19,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xee1d12a08bc9af3f17ac25f4829700828fdf559c3b108fae1d7c18a1e166b252,22806,32097,43079,21539,0.001183,29640.29,29160.34,
19,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xaa018fddcc90c75ba13824b78f38bfe85cd797d7845ad8dd3e9cfae26d296012,22806,32097,43079,21539,0.001183,29644.52,29160.40,
19,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x9b471ec05304b5964be3f384f6ddcbe6c7dc21a7383fa90fb4130de1da6903f5,22806,32097,43079,21539,0.001183,29652.99,29164.51,
20,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x55a896552d9862e58b595244fba6da71624032c9334fdc6aafe894cd6855e691,22807,32097,43079,21539,0.001183,29636.22,29161.63,
20,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x188047cf1fc1d1838817c16200e870f263ad6cb7deda5f962291de09dc15a352,22807,32097,43079,21539,0.001183,29642.53,29161.68,
20,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x3c59f9ce4817e069793cacde753291d8c4bd150d83e04af59a4378a1e3df5fb7,22807,32097,43079,21539,0.001183,29665.33,29164.47,
20,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xab0211771ca47f15e1f24cbe94e6e404cba0df7ed7f8f495b20e1dd9e051ebc6,22807,32097,43079,21539,0.001183,30647.80,30174.00,
21,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xf4770d5e4eb7bd292c54322095dc6b1feee5a5899bc25363a292b417ce521dad,22808,32097,43079,21539,0.001183,29635.80,29156.38,
21,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x9b3af553392fc52726e8315a8ffe51dfa0e35053b6b4fac41aeca651d824e2b0,22808,32097,43079,21539,0.001183,30659.12,30158.99,
21,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x9d5505d8e31be68ad618066539613389b6c54b4696b4c57f2d653fbfc273ba68,22808,32097,43079,21539,0.001183,30675.20,30162.21,
21,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xd08fec1cf545828531d742f6123e20d523e8d7c28903198db47076f239182c32,22808,32097,43079,21539,0.001183,30708.29,30164.24,
22,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xbd5a64820c611326352b31178d5ab3a7c4835ba6c830e0fda17c0abd3126fcfb,22809,32097,49450,24725,0.001359,29632.83,29159.81,
22,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x288cff6b52a73197820c5e8fc665dad75d68b2654024ff7e25f9df18285aae23,22809,32097,49450,24725,0.001359,29635.63,29159.54,
22,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x16a1957a14431f2f0e5d3d534e348c701a9eaef5d70eaaa4699b68d98ea4d30a,22809,32097,49450,24725,0.001359,29658.26,29164.18,
22,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xa0ac5f6f265f6ac5e2a1b20081b065d7dd4f8e76c3b69398d5c637fcc43c10aa,22809,32097,49450,24725,0.001359,29654.13,29165.54,
23,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xc9b8ed276a5fcece6aa326a6cb7f44f2ffc2076b9c66bc03e9bd49ae0059914d,22810,32097,49450,24725,0.001359,29648.09,29163.21,
23,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x79658a8f08fdade30c8d5e55320d9924ce4b8813d6345142c00cd75c9aa8d454,22810,32097,49450,24725,0.001359,29657.80,29164.85,
23,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x74ab22a67f27a597daaf3863f4aa04c526fb6e37ce04e5ea839ffcb1277824d6,22810,32097,49450,24725,0.001359,30632.27,30158.35,
23,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x8b7b68bff44f519062e6c69e0e3f3142c6b432fef5f22969c8fff8d1ef898895,22810,32097,49450,24725,0.001359,30645.87,30158.83,
24,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x43092797ecdb40604b286941c36d684059d31eee4ae73f80511a143397715409,22811,32097,49450,24725,0.001359,29632.06,29160.70,
24,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xf738d1921ac7b87b495043619c2f73aa3b8fd2a9ad231707b148e893bb7c0793,22811,32097,49450,24725,0.001359,29645.05,29161.43,
24,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x462041ed04fe256483495328a8fc166cba9458a50ff3ed16e99f827f61f83d04,22811,32097,49450,24725,0.001359,30652.97,30165.10,
24,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x1a51899ab3c0ab4f653cf6e7ab1577990d28f95c266356ad7a430d5f6af4d8ac,22811,32097,49450,24725,0.001359,30653.98,30165.44,
25,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xefd683ad62e5cd65961093beaf54b816984086c54ff3576b5864461864d0e09d,22812,32097,53008,26504,0.001456,29636.27,29157.73,
25,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xe4ded539e74f690fe428e8b1d17fbaebcf920aaa6fa2572e445bcd4f4b10719e,22812,32097,53008,26504,0.001456,29646.76,29159.98,
25,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x456f69d01405c2c971c6cff25a5b2d27457b548244c9a59eebd407a790207881,22812,32097,53008,26504,0.001456,29652.66,29163.36,
25,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xd4769bebc959c3a222257151605096163ae073765ea91ffaf1600c8ccdc5ee65,22812,32097,53008,26504,0.001456,30629.94,30157.83,
26,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x6a2cf7fa21a36c1a62d6c732e67d9d35fc76dad85aa4f8d56e0a977b5169b6b0,22813,32097,53008,26504,0.001456,29655.20,29163.90,
26,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xf29d181e2e6b0082cf950cb368d05300e57fae656d95da6de39552c1043b6f1f,22813,32097,53008,26504,0.001456,29629.66,29156.77,
26,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x0d322bb28eef0eccb96064314e59fcc9a454283d001dd5f90d36935621cc349f,22813,32097,53008,26504,0.001456,30637.99,30158.96,
26,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xf3eff4d274824f73b8ae767c57abe2cce1c3b9dd2ecb1a2fc85719951acb1637,22813,32097,53008,26504,0.001456,30646.74,30162.24,
27,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x24218ad4721380b7494df75ef879606bc37c511ca8b6ed927b9313c18aaf4077,22814,32097,55492,27746,0.001525,29627.91,29157.93,
27,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x1c80982ed4221227d5db881c3b855b5a8d24a626a43fcb0e60b58e12d58e081f,22814,32097,55492,27746,0.001525,29637.93,29160.33,
27,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x6b435dae89b49db07468b2479f222f0c9f5a82824bd9d83c31a7ba228fa8455e,22814,32097,55492,27746,0.001525,29647.35,29162.85,
27,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x2a8c2ece0e56dc3088e2fdfca8c42b06829d197ae711160e25c62b03853f4950,22814,32097,55492,27746,0.001525,30655.15,30164.58,
28,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xd73f698cb26a71511e852e82e8ba2166598f1d650f6c5ebbc097c3400ed0bdfe,22815,32097,55492,27746,0.001525,29634.53,29158.50,
28,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x0413f665165c6c366508bd502a73fb2df055e22d4b14cb556d156c8d25fc72ca,22815,32097,55492,27746,0.001525,29647.11,29162.74,
28,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xae695ca2ca2902103a042fa28b5d7fd36e42bf0bb364bf84979d5692c6c040c5,22815,32097,55492,27746,0.001525,29650.26,29162.57,
28,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x407167816429927c8817b2069787f41b7604fded9e211617629a25ef67aa7912,22815,32097,55492,27746,0.001525,30627.74,30157.85,
29,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xa879f7287e5f79c894718aeed3dbbdeb26a89e0f6b40c120a13fcca5e23a20b9,22816,32097,63353,31676,0.001741,29651.01,29162.68,
29,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x76e83cb78cd3a07d90e60f312bfb02868f3ae35baea619c132fc82779c1a514d,22816,32097,63353,31676,0.001741,29634.26,29160.93,
29,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xf3d90abdaae92f1ef0412f425a0117fac23b73ce1cb300480b66a23f121da8b6,22816,32097,63353,31676,0.001741,30637.09,30160.50,
29,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xdd08e991af323808e867b0521e95f42d26245c2d8639c51b3d9f5b52ebe5c942,22816,32097,63353,31676,0.001741,30648.14,30161.70,
30,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x78d055ce093a14c6a1b0e1efedbf51f39bdde1f0834787d756517bb808652f0e,22817,32097,63353,31676,0.001741,29639.77,29159.33,
30,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0xb319b9a0341c0e707d5e67747c677364eb5f26e050dfed997d9b96e204a537f3,22817,32097,63353,31676,0.001741,29634.17,29159.65,
30,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xce226e3faa2baf460c519af31be3f3f9b73d5c40d852b644c7ebedab9b3f7c79,22817,32097,63353,31676,0.001741,29646.88,29162.30,
30,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xd426b25c11841e0549a9ade3cdb3b375d4a04dc91e6d498ce40547773f89e04a,22817,32097,63353,31676,0.001741,30659.39,30164.83,
31,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x0a1576c69a990511f40dabcca415bf42fc93c1aa9409dbb9c27f9d4442639791,22818,32097,63353,31676,0.001741,29636.28,29159.16,
31,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x0fd68a202d403d9cc078ee773882168f17aea00474c8a78baea97dff05af01ae,22818,32097,63353,31676,0.001741,29643.84,29160.47,
31,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x9d3da42191c1bf5bb1f9bf3941747072108c7eee9a3fe26de39d5b0eea037db7,22818,32097,63353,31676,0.001741,29653.64,29162.54,
31,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x4a4ad3745a5b1f22a6e6e2c65888c7eef77b46f21c68bcbb7717109db327ca06,22818,32097,63353,31676,0.001741,30629.39,30156.68,
32,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x0fc5e86f7e8a613ffe270b28b84f0101f7a8c9548e6136202701083768841a54,22819,32097,63353,31676,0.001741,29647.52,29157.22,
32,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x87cda633f31ebca771f6593bcdac08b8c0514b0bd44e32241fe1a624f9513a15,22819,32097,63353,31676,0.001741,29633.46,29156.38,
32,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x9577c948c411d7a1af4f726da5e49954e9db58ce958e138f951f42e47918ebb1,22819,32097,63353,31676,0.001741,30625.20,30151.97,
32,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x9f9450295133e5b4278e243eac4576889036fc4db5cca7356c880ce4c2ae3612,22819,32097,63353,31676,0.001741,30633.05,30153.40,
33,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x6b759deac7409b5040da8196de707bcbbf73fd97f82a41d34350d53c2b2dfaf5,22820,32097,63353,31676,0.001741,29612.74,29152.75,
33,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x243f5bea9be4099ba952a4b64c12292a731d80603765b7beac0e39f51c776bd2,22820,32097,63353,31676,0.001741,29611.78,29154.55,
